車站名稱,行政區_1,行政區_2
新北投,北投區,北投區
淡水,淡水區,淡水區
紅樹林,淡水區,淡水區
竹圍,淡水區,淡水區
關渡,北投區,北投區
忠義,北投區,北投區
復興崗,北投區,北投區
北投,北投區,北投區
北投,北投區,北投區
奇岩,北投區,北投區
唭哩岸,北投區,北投區
石牌（榮總）,北投區,北投區
明德,北投區,北投區
芝山,士林區,士林區
士林,士林區,士林區
劍潭,士林區,士林區
圓山,中山區,大同區
民權西路,中山區,大同區
雙連（馬偕紀念醫院）,中山區,大同區
中山,中山區,大同區
台北車站,中正區,中正區
台大醫院,中正區,中正區
中正紀念堂（南門）,中正區,中正區
中正紀念堂（南門）,中正區,中正區
東門,中正區,中正區
東門,大安區,大安區
大安森林公園,大安區,大安區
大安,大安區,大安區
信義安和,大安區,大安區
台北101/世貿,信義區,信義區
象山,信義區,信義區
廣慈/奉天宮,信義區,信義區
南港展覽館,南港區,南港區
南港軟體園區,南港區,南港區
東湖,內湖區,內湖區
葫洲,內湖區,內湖區
大湖公園,內湖區,內湖區
內湖,內湖區,內湖區
文德（碧湖公園）,內湖區,內湖區
港墘,內湖區,內湖區
西湖（德明科大）,內湖區,內湖區
劍南路（美麗華）,中山區,中山區
大直（實踐大學）,中山區,中山區
松山機場,松山區,松山區
中山國中,中山區,松山區
南京復興,中山區,松山區
忠孝復興,大安區,大安區
大安,大安區,大安區
科技大樓,大安區,大安區
六張犁,大安區,信義區
麟光,大安區,信義區
辛亥,文山區,文山區
萬芳醫院,文山區,文山區
萬芳社區,文山區,文山區
木柵,文山區,文山區
動物園,文山區,文山區
松山,信義區,信義區
松山,松山區,松山區
南京三民,松山區,松山區
台北小巨蛋,松山區,松山區
南京復興,松山區,松山區
南京復興,中山區,中山區
松江南京,中山區,中山區
中山,中山區,中山區
中山,大同區,大同區
北門（大稻埕南）,大同區,大同區
西門,萬華區,萬華區
西門,中正區,中正區
小南門,中正區,中正區
中正紀念堂（南門）,中正區,中正區
古亭,中正區,大安區
台電大樓,中正區,大安區
公館（台灣大學）,中正區,大安區
萬隆,文山區,文山區
景美,文山區,文山區
大坪林,新店區,新店區
七張,新店區,新店區
七張,新店區,新店區
新店區公所,新店區,新店區
新店（碧潭）,新店區,新店區
小碧潭（新店高中）,新店區,新店區
蘆洲（蘆洲李宅）,蘆洲區,蘆洲區
三民高中（空中大學）,蘆洲區,蘆洲區
徐匯中學,蘆洲區,蘆洲區
三和國中,三重區,三重區
三重國小,三重區,三重區
迴龍（樂生）,新莊區,新莊區
丹鳳,新莊區,新莊區
輔大,新莊區,新莊區
新莊（新莊廟街）,新莊區,新莊區
頭前庄（臺北醫院）,新莊區,新莊區
先嗇宮,三重區,三重區
三重,三重區,三重區
菜寮（新北市立醫院）,三重區,三重區
台北橋,三重區,三重區
大橋頭（大橋國小）,大同區,大同區
大橋頭（大橋國小）,大同區,大同區
民權西路,大同區,大同區
民權西路,中山區,中山區
中山國小（晴光商圈）,中山區,中山區
行天宮,中山區,中山區
松江南京,中山區,中山區
忠孝新生（台北科大）,中正區,大安區
東門,中正區,大安區
古亭,中正區,大安區
頂溪,永和區,永和區
永安市場,永和區,永和區
永安市場,中和區,中和區
景安,中和區,中和區
南勢角,中和區,中和區
南港展覽館,南港區,南港區
南港,南港區,南港區
昆陽,南港區,南港區
後山埤（五分埔商圈）,南港區,南港區
後山埤（五分埔商圈）,信義區,信義區
永春,信義區,信義區
市政府,信義區,信義區
國父紀念館,信義區,信義區
國父紀念館,大安區,大安區
忠孝敦化,大安區,大安區
忠孝復興,大安區,大安區
忠孝新生（台北科大）,大安區,大安區
忠孝新生（台北科大）,中正區,中正區
善導寺（華山）,中正區,中正區
台北車站,中正區,中正區
西門,中正區,中正區
西門,萬華區,萬華區
龍山寺（艋舺商圈）,萬華區,萬華區
江子翠,板橋區,板橋區
新埔,板橋區,板橋區
板橋,板橋區,板橋區
府中（林家花園）,板橋區,板橋區
亞東醫院,板橋區,板橋區
海山,土城區,土城區
土城,土城區,土城區
永寧,土城區,土城區
頂埔,土城區,土城區
↓接續三張犁環狀行駛↑,↓接續,三張犁環狀行駛↑
動物園,文山區,文山區
政大[1],文山區,文山區
文山區公所[註 1],文山區,文山區
馬明潭,文山區,文山區
溝子口（考試院）,文山區,文山區
寶斗厝（寶橋工業區）,新店區,新店區
新北市,,
大坪林,新店區,新店區
十四張（莊敬高職）,新店區,新店區
秀朗橋,中和區,中和區
景平,中和區,中和區
景安,中和區,中和區
中和,中和區,中和區
橋和,中和區,中和區
中原,中和區,中和區
板新,板橋區,板橋區
板橋,板橋區,板橋區
新埔民生,板橋區,板橋區
頭前庄（臺北醫院）,新莊區,新莊區
幸福,,
新北產業園區,新莊區,新莊區
工商展覽中心,五股區,五股區
更寮（褒子寮）,五股區,五股區
中路,蘆洲區,蘆洲區
徐匯中學,蘆洲區,蘆洲區
分子尾,蘆洲區,蘆洲區
重陽橋,三重區,三重區
社子,士林區,士林區
福德洋,士林區,士林區
士林,士林區,士林區
林子口,士林區,士林區
故宮[2],士林區,士林區
劍南路（美麗華）,中山區,中山區
下塔悠,中山區,中山區
洲子,內湖區,內湖區
內湖科技園區,內湖區,內湖區
瑞光公園,內湖區,內湖區
粉寮,內湖區,內湖區
舊里族,內湖區,內湖區
松山,松山區,松山區
松山,信義區,信義區
永春,信義區,信義區
象山,信義區,信義區
三張犁,信義區,信義區
↓接續動物園環狀行駛↑,↓接續,動物園環狀行駛↑
